Block Number,Trial Number,Condition,Word,Ink Colours,Accuracy,Response Time
1,1,incongruent,red,blue,Correct,0.08828045218251646
1,2,incongruent,green,red,Incorrect,0.1096919639967382
1,3,incongruent,green,red,Incorrect,0.15579667896963656
1,4,incongruent,red,blue,Incorrect,0.231375846080482
1,5,neutral,bottle,red,Correct,0.20448558614589274
1,6,incongruent,blue,green,Correct,0.08886517211794853
1,7,neutral,pan,green,Correct,0.10032018995843828
1,8,incongruent,blue,green,Correct,0.14445307315327227
1,9,congruent,green,green,Incorrect,0.09611782501451671
1,10,neutral,bottle,red,Incorrect,0.3150246050208807
1,11,neutral,blanket,blue,Incorrect,0.7822596600744873
1,12,neutral,cat,red,Correct,0.3016694800462574
1,13,congruent,red,red,Correct,0.23242834582924843
1,14,incongruent,red,blue,Incorrect,0.019036937970668077
1,15,congruent,blue,blue,Incorrect,0.06292455899529159
1,16,neutral,house,blue,Correct,0.03893645713105798
1,17,neutral,dog,green,Incorrect,0.1213109630625695
1,18,congruent,green,green,Incorrect,0.06287272297777236
2,1,congruent,blue,blue,Correct,0.0566298789344728
2,2,congruent,green,green,Incorrect,0.104902109131217
2,3,congruent,red,red,Incorrect,0.2561368199530989
2,4,incongruent,green,red,Incorrect,0.06385736400261521
2,5,neutral,cat,red,Correct,0.09589438885450363
2,6,incongruent,green,red,Correct,0.04768990003503859
2,7,incongruent,blue,green,Correct,0.07359656202606857
2,8,neutral,pan,green,Correct,0.04988549998961389
2,9,neutral,bottle,red,Correct,0.1348974988795817
2,10,congruent,blue,blue,Incorrect,0.024351546075195074
2,11,incongruent,green,red,Incorrect,0.2411328600719571
2,12,congruent,green,green,Incorrect,0.3162639159709215
2,13,congruent,blue,blue,Incorrect,0.19126208685338497
2,14,neutral,cat,red,Correct,0.010769709944725037
2,15,incongruent,blue,green,Correct,0.06509767100214958
2,16,incongruent,blue,green,Correct,0.09948110394179821
2,17,incongruent,green,red,Incorrect,0.1763313750270754
2,18,congruent,red,red,Incorrect,0.29744198895059526
